time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
1.3000,38.3943,-19.1972,2738.2193,0.000000,0.021621,-0.007207,-8.5050,4.2525,-202.8665,0.6610,-0.3305,-2.1854
1.3200,38.2245,-19.1123,2734.1611,0.000000,0.021549,-0.007183,-8.4918,4.2459,-202.9102,0.6610,-0.3305,-2.1785
1.3400,38.0549,-19.0275,2730.1020,0.000000,0.021478,-0.007159,-8.4786,4.2393,-202.9537,0.6611,-0.3305,-2.1716
1.3600,37.8856,-18.9428,2726.0420,0.000000,0.021406,-0.007135,-8.4654,4.2327,-202.9972,0.6611,-0.3306,-2.1647
1.3800,37.7166,-18.8583,2721.9812,0.000000,0.021335,-0.007112,-8.4521,4.2261,-203.0405,0.6611,-0.3306,-2.1578
1.4000,37.5478,-18.7739,2717.9196,0.000000,0.021264,-0.007088,-8.4389,4.2195,-203.0836,0.6612,-0.3306,-2.1509
1.4200,37.3793,-18.6896,2713.8570,0.000000,0.021193,-0.007064,-8.4257,4.2128,-203.1266,0.6612,-0.3306,-2.1440
1.4400,37.2110,-18.6055,2709.7936,0.000000,0.021123,-0.007041,-8.4125,4.2062,-203.1695,0.6612,-0.3306,-2.1371
1.4600,37.0431,-18.5215,2705.7294,0.000000,0.021052,-0.007017,-8.3992,4.1996,-203.2123,0.6612,-0.3306,-2.1303
1.4800,36.8753,-18.4377,2701.6643,0.000000,0.020982,-0.006994,-8.3860,4.1930,-203.2549,0.6613,-0.3306,-2.1234
1.5000,36.7079,-18.3539,2697.5983,0.000000,0.020913,-0.006971,-8.3728,4.1864,-203.2973,0.6613,-0.3306,-2.1165
1.5200,36.5407,-18.2703,2693.5316,0.000000,0.020843,-0.006948,-8.3596,4.1798,-203.3397,0.6613,-0.3307,-2.1097
1.5400,36.3738,-18.1869,2689.4639,0.000000,0.020774,-0.006925,-8.3463,4.1732,-203.3819,0.6613,-0.3307,-2.1028
