epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,949.951,0.10665,0.07213,0.01362,0.10826,0.75829,0.99995,1,0.995,0.99334,0.99995,1,0.995,0.995,0.10388,0.14979,0.00604,0.10321,0.75211,0.0004852,0.0004852,0.0004852
54,970.813,0.10208,0.07343,0.01247,0.1068,0.76589,0.99995,1,0.995,0.99199,0.99995,1,0.995,0.995,0.09878,0.17091,0.00566,0.10225,0.75321,0.0004753,0.0004753,0.0004753
55,990.063,0.1044,0.06964,0.01377,0.10974,0.75996,0.99995,1,0.995,0.99092,0.99995,1,0.995,0.99499,0.10706,0.18635,0.00561,0.10553,0.75274,0.0004654,0.0004654,0.0004654
56,1010.13,0.11018,0.07957,0.01377,0.11324,0.76271,0.99995,1,0.995,0.99114,0.99995,1,0.995,0.995,0.10073,0.18313,0.00592,0.09975,0.7537,0.0004555,0.0004555,0.0004555
57,1030.5,0.10481,0.06993,0.01454,0.10984,0.76558,0.99995,1,0.995,0.99231,0.99995,1,0.995,0.995,0.102,0.15986,0.00545,0.10202,0.75413,0.0004456,0.0004456,0.0004456
58,1051.16,0.10656,0.072,0.01279,0.1143,0.75896,0.99995,1,0.995,0.99158,0.99995,1,0.995,0.995,0.10219,0.14653,0.00544,0.1046,0.75282,0.0004357,0.0004357,0.0004357
59,1071.75,0.1034,0.07437,0.01289,0.10889,0.76054,0.99995,1,0.995,0.98987,0.99995,1,0.995,0.995,0.10534,0.1605,0.00549,0.10339,0.75306,0.0004258,0.0004258,0.0004258
60,1092.6,0.10324,0.06466,0.01497,0.10659,0.76451,0.99995,1,0.995,0.98924,0.99995,1,0.995,0.995,0.09659,0.15115,0.00547,0.09926,0.75257,0.0004159,0.0004159,0.0004159
61,1113.41,0.09542,0.06589,0.01259,0.10146,0.75953,0.99995,1,0.995,0.99296,0.99995,1,0.995,0.995,0.09288,0.15964,0.00562,0.09604,0.75228,0.000406,0.000406,0.000406
62,1134.29,0.10036,0.0749,0.01294,0.10439,0.76053,0.99995,1,0.995,0.99328,0.99995,1,0.995,0.995,0.09351,0.14394,0.00528,0.09937,0.7519,0.0003961,0.0003961,0.0003961
63,1155.04,0.09376,0.07447,0.01306,0.09882,0.76113,0.99995,1,0.995,0.99028,0.99995,1,0.995,0.995,0.09381,0.15102,0.00509,0.09333,0.75253,0.0003862,0.0003862,0.0003862
64,1175.55,0.09154,0.07521,0.01356,0.09993,0.75584,0.99995,1,0.995,0.99211,0.99995,1,0.995,0.995,0.08623,0.1478,0.00517,0.09148,0.75248,0.0003763,0.0003763,0.0003763
65,1196.04,0.09158,0.06522,0.01248,0.09491,0.75402,1,1,0.995,0.98755,1,1,0.995,0.995,0.11136,0.14492,0.00499,0.09619,0.75379,0.0003664,0.0003664,0.0003664
66,1216.57,0.08921,0.05632,0.01247,0.09478,0.75966,0.99995,1,0.995,0.99218,0.99995,1,0.995,0.995,0.08914,0.15246,0.00479,0.08576,0.75326,0.0003565,0.0003565,0.0003565
67,1237.29,0.08963,0.06184,0.01289,0.09717,0.76337,0.99995,1,0.995,0.99419,0.99995,1,0.995,0.995,0.08643,0.14953,0.00482,0.098,0.7531,0.0003466,0.0003466,0.0003466
68,1257.91,0.09474,0.05469,0.01272,0.1012,0.7612,0.99995,1,0.995,0.99293,0.99995,1,0.995,0.995,0.08752,0.17052,0.00502,0.09414,0.75293,0.0003367,0.0003367,0.0003367
69,1278.42,0.0829,0.06464,0.01406,0.09319,0.75917,0.99995,1,0.995,0.99056,0.99995,1,0.995,0.995,0.10243,0.14381,0.00496,0.09765,0.75168,0.0003268,0.0003268,0.0003268
